Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1926,.20,.02,.10,-.12,-.24,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.09,-.22,-.10
1927,-.27,-.18,-.39,-.30,-.25,-.27,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.21,-.25,-.31,-.23,-.06
1928,-.01,-.09,-.25,-.28,-.30,-.38,-.19,-.22,-.22,-.19,-.08,-.16,-.20,-.21,-.14,-.27,-.27,-.16
1929,-.45,-.59,-.33,-.41,-.38,-.43,-.37,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.29,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.15,-.11,.18,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.20,-.10,-.22,-.19,-.08,-.03,-.03,-.07,.05,-.05,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.15,-.17,-.18,-.05,-.17,-.28,-.25,-.21,-.10,-.09,-.27,-.25,-.16,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.23,-.29,-.25,-.30,-.44,-.28,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.03,-.29,-.30,-.09,-.15,-.11,-.12,-.15,-.06,.04,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.33,.14,-.14,-.37,-.29,-.27,-.22,-.22,-.22,-.05,-.26,-.17,-.20,-.19,-.07,-.27,-.24,-.18
1936,-.27,-.38,-.21,-.20,-.17,-.22,-.10,-.13,-.09,-.03,.01,-.01,-.15,-.16,-.28,-.19,-.15,-.03
1937,-.07,.03,-.20,-.16,-.05,-.05,-.04,.02,.09,.09,.09,-.07,-.03,-.02,-.02,-.14,-.02,.09
1938,.08,.03,.09,.06,-.10,-.17,-.09,-.05,.00,.15,.08,-.13,.00,.00,.02,.02,-.10,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.05,-.06,-.07,-.03,.08,.44,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.09,.10,.18,.11,.12,.12,.07,.16,.12,.17,.32,.13,.14,.18,.13,.11,.15
1941,.19,.31,.10,.17,.17,.13,.22,.15,.02,.35,.23,.22,.19,.20,.27,.15,.17,.20
1942,.30,.03,.05,.10,.11,.05,.01,-.03,-.03,.02,.10,.13,.07,.08,.18,.09,.01,.03
1943,-.01,.17,-.03,.11,.06,-.05,.09,.01,.05,.23,.20,.24,.09,.08,.10,.05,.02,.16
1944,.36,.24,.26,.19,.18,.16,.18,.18,.28,.26,.11,.04,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.05,.01,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.06,.06,-.02,-.02,-.04,-.07,-.13,.07,.03,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.07,-.15,-.25,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.13,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.15,-.06,-.10,-.18,-.11,-.12,-.11,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.11,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.03,.02,-.02
1953,.08,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.12,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.14,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.04,.01,.10,.16,.03,.13,.08,.00,.07,.15,.05,.03,-.06,.02,.11,.05
1958,.39,.21,.09,.01,.05,-.07,.06,-.03,-.02,.04,.02,.01,.06,.08,.25,.05,-.01,.02
1959,.08,.07,.17,.14,.05,.03,.03,.00,-.06,-.06,-.08,.00,.03,.03,.05,.12,.02,-.07
1960,.00,.15,-.34,-.15,-.07,-.04,-.04,.03,.06,.05,-.11,.19,-.02,-.04,.05,-.19,-.02,.00
1961,.07,.19,.10,.12,.13,.11,.01,.01,.08,.02,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.06,.16,.11,.06,-.07,.05,.02,-.02,.02,.02,.06,-.03,.04,.02,.02,.03,.02,.03
1963,-.03,.18,-.13,-.07,-.06,.03,.07,.22,.18,.14,.14,-.03,.05,.05,.04,-.09,.11,.15
1964,-.09,-.10,-.22,-.32,-.25,-.05,-.05,-.21,-.30,-.31,-.22,-.30,-.20,-.18,-.07,-.26,-.10,-.28
1965,-.08,-.17,-.13,-.20,-.11,-.08,-.14,-.05,-.14,-.06,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.05,.03,-.14,-.12,.00,.08,-.08,-.03,-.16,-.01,-.03,-.06,-.06,-.11,-.08,.00,-.07
1967,-.08,-.21,.05,-.04,.11,-.08,.03,-.01,-.05,.10,-.04,-.05,-.02,-.02,-.11,.04,-.02,.00
1968,-.26,-.15,.20,-.06,-.13,-.07,-.12,-.08,-.17,.09,-.05,-.14,-.08,-.07,-.15,.00,-.09,-.05
1969,-.11,-.17,.01,.17,.18,.04,-.04,.04,.08,.10,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.11,.02,.02,-.12,.02,.05,.18,.02,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.09,-.08,-.09,-.10,-.10,-.09,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.17,.01,-.01,-.16,.00,.07,.04
1973,.29,.33,.29,.27,.22,.19,.12,.05,.09,.10,.05,-.06,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.06,-.07,-.08,-.07,-.07,-.15,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.12,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.13,-.10,-.12,-.06,-.24,-.06,.10,-.10,-.12,-.09,-.16,-.12,-.12
1977,.18,.23,.24,.27,.32,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.25,.29,.48,.16,.13,.02,.12,.11,.26
1980,.30,.40,.30,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.32,.20,.21
1981,.52,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.30,.39,.35,.32,.17
1982,.04,.15,.03,.15,.18,.05,.14,.03,.13,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.42,.41,.27,.33,.22,.17,.35,.37,.16,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.32,.02,.19,.19,.21,.13,.07,-.05,.15,.17,.21,.21,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.13,.11,.10,.05,.14,.12,.09
1986,.27,.37,.30,.22,.21,.12,.11,.15,.03,.15,.11,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.34,.40,.24,.35,.32,.29,.46,.32,.29,.30,.23,.33,.32
1988,.56,.44,.51,.42,.43,.39,.32,.38,.36,.37,.12,.28,.38,.40,.49,.45,.37,.28
1989,.11,.30,.36,.29,.17,.16,.33,.33,.35,.28,.19,.37,.27,.26,.23,.27,.28,.27
1990,.41,.43,.79,.56,.45,.39,.46,.34,.23,.44,.47,.40,.45,.44,.40,.60,.40,.38
1991,.42,.49,.35,.51,.34,.52,.47,.40,.44,.28,.29,.31,.40,.41,.44,.40,.46,.34
1992,.47,.41,.47,.27,.30,.26,.08,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.23,.25,.11,.12,.23,.04,.18,.23,.23,.31,.30,.19,.13
1994,.26,.02,.30,.40,.27,.43,.30,.22,.32,.41,.44,.38,.31,.30,.15,.32,.32,.39
1995,.52,.79,.47,.46,.28,.42,.45,.46,.33,.47,.44,.25,.44,.46,.56,.40,.44,.42
1996,.23,.46,.33,.32,.28,.25,.36,.48,.24,.19,.38,.37,.32,.32,.32,.31,.36,.27
1997,.29,.41,.52,.35,.36,.54,.34,.43,.52,.60,.64,.58,.46,.45,.36,.41,.43,.59
1998,.58,.88,.63,.64,.66,.76,.67,.65,.42,.42,.43,.56,.61,.61,.68,.65,.69,.43
1999,.48,.65,.32,.33,.27,.36,.38,.32,.38,.34,.37,.41,.39,.40,.56,.31,.35,.37
2000,.25,.56,.55,.57,.35,.39,.37,.42,.39,.27,.31,.29,.39,.40,.41,.49,.39,.32
2001,.46,.44,.56,.51,.58,.51,.59,.50,.52,.51,.73,.56,.54,.52,.39,.55,.53,.58
2002,.77,.79,.88,.58,.63,.53,.60,.53,.63,.54,.59,.43,.63,.64,.71,.70,.55,.59
2003,.75,.59,.59,.55,.61,.48,.58,.65,.62,.73,.53,.75,.62,.59,.59,.59,.57,.63
2004,.58,.73,.63,.61,.39,.44,.26,.47,.51,.61,.73,.51,.54,.56,.69,.54,.39,.61
2005,.74,.61,.74,.68,.63,.65,.62,.62,.71,.75,.74,.68,.68,.67,.62,.68,.63,.73
2006,.56,.73,.63,.48,.50,.65,.54,.71,.65,.69,.73,.79,.64,.63,.66,.54,.64,.69
2007,1.01,.70,.72,.75,.68,.61,.60,.60,.60,.59,.58,.49,.66,.69,.83,.72,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.47,.61,.65,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.53,.54,.60,.66,.65,.71,.68,.73,.65,.80,.67,.66,.65,.58,.60,.68,.73
2010,.75,.84,.91,.84,.76,.68,.63,.66,.63,.70,.82,.45,.72,.74,.75,.84,.66,.72
2011,.52,.48,.65,.65,.52,.61,.70,.73,.58,.66,.59,.61,.61,.59,.48,.60,.68,.61
2012,.49,.49,.57,.71,.77,.65,.58,.64,.71,.79,.79,.53,.64,.65,.53,.68,.62,.76
2013,.71,.63,.67,.56,.62,.71,.61,.70,.77,.69,.85,.70,.68,.67,.62,.62,.67,.77
2014,.76,.55,.79,.81,.85,.67,.59,.81,.85,.80,.67,.80,.75,.74,.67,.82,.69,.77
2015,.86,.90,.96,.77,.79,.82,.75,.83,.85,1.08,1.06,1.16,.90,.87,.85,.84,.80,1.00
2016,1.17,1.37,1.36,1.12,.96,.82,.84,1.01,.91,.88,.91,.86,1.02,1.04,1.23,1.15,.89,.90
2017,1.03,1.14,1.16,.94,.90,.72,.82,.87,.79,.90,.88,.95,.92,.92,1.01,1.00,.80,.86
2018,.82,.85,.90,.90,.82,.78,.82,.77,.80,1.01,.83,.92,.85,.85,.87,.87,.79,.88
2019,.93,.95,1.18,1.02,.86,.92,.94,.94,.92,1.02,1.00,1.11,.98,.97,.93,1.02,.93,.98
